"2022-06-17";"22:39:43";"WinControl (rev 1142) report file"
"Datetime";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"2022-06-17 19:47:32.000";"1396002";"2022-06-17";"19:47:32";"F";"39";"41";"54";"0";"0.241";"0.0"
"2022-06-17 19:47:39.000";"1403002";"2022-06-17";"19:47:39";"F";"40";"296";"349";"0";"0.152";"0.0"
"2022-06-17 19:47:48.000";"1412002";"2022-06-17";"19:47:48";"F";"41";"106";"141";"0";"0.248";"0.0"
"2022-06-17 19:47:59.000";"1423002";"2022-06-17";"19:47:59";"F";"42";"131";"160";"0";"0.181";"0.0"
"2022-06-17 19:48:04.000";"1428002";"2022-06-17";"19:48:04";"F";"43";"145";"175";"0";"0.171";"0.0"
"2022-06-17 19:48:15.000";"1439002";"2022-06-17";"19:48:15";"F";"44";"5";"15";"0";"-";"-"
"2022-06-17 19:48:48.000";"1472002";"2022-06-17";"19:48:48";"F";"45";"55";"67";"0";"0.179";"0.0"
"2022-06-17 19:48:54.000";"1478002";"2022-06-17";"19:48:54";"F";"46";"98";"119";"0";"0.176";"0.0"
"2022-06-17 19:49:01.000";"1485002";"2022-06-17";"19:49:01";"F";"47";"22";"35";"0";"-";"-"
"2022-06-17 19:49:08.000";"1492002";"2022-06-17";"19:49:08";"F";"48";"109";"128";"0";"0.148";"0.0"
"2022-06-17 19:49:15.000";"1499002";"2022-06-17";"19:49:15";"F";"49";"84";"100";"0";"0.160";"0.0"
"2022-06-17 19:49:22.000";"1506002";"2022-06-17";"19:49:22";"F";"50";"171";"174";"0";"0.017";"0.0"
"2022-06-17 19:49:29.000";"1513002";"2022-06-17";"19:49:29";"F";"51";"50";"59";"0";"0.153";"0.0"
"2022-06-17 19:49:36.000";"1520002";"2022-06-17";"19:49:36";"F";"52";"102";"110";"0";"0.073";"0.0"
"2022-06-17 19:49:43.000";"1527002";"2022-06-17";"19:49:43";"F";"53";"469";"540";"0";"0.131";"0.0"
"2022-06-17 19:49:49.000";"1533002";"2022-06-17";"19:49:49";"F";"54";"234";"268";"0";"0.127";"0.0"
"2022-06-17 19:49:58.000";"1542002";"2022-06-17";"19:49:58";"F";"55";"111";"132";"0";"0.159";"0.0"
"2022-06-17 19:50:05.000";"1549002";"2022-06-17";"19:50:05";"F";"56";"122";"152";"0";"0.197";"0.0"
"2022-06-17 19:50:36.000";"1580002";"2022-06-17";"19:50:36";"F";"57";"204";"243";"0";"0.160";"0.0"
"2022-06-17 19:50:40.000";"1584002";"2022-06-17";"19:50:40";"F";"58";"217";"272";"0";"0.202";"0.0"
"2022-06-17 19:50:50.000";"1594002";"2022-06-17";"19:50:50";"F";"59";"244";"275";"0";"0.113";"0.0"
"2022-06-17 19:51:02.000";"1606002";"2022-06-17";"19:51:02";"F";"60";"64";"78";"0";"0.179";"0.0"
"2022-06-17 19:51:16.000";"1620002";"2022-06-17";"19:51:16";"F";"61";"111";"140";"0";"0.207";"0.0"
"2022-06-17 19:51:33.000";"1637002";"2022-06-17";"19:51:33";"F";"62";"91";"112";"0";"0.188";"0.0"
"2022-06-17 19:51:44.000";"1648002";"2022-06-17";"19:51:44";"F";"63";"28";"36";"0";"-";"-"
"2022-06-17 19:51:50.000";"1654002";"2022-06-17";"19:51:50";"F";"64";"47";"52";"0";"0.096";"0.0"
"2022-06-17 19:52:01.000";"1665002";"2022-06-17";"19:52:01";"F";"65";"80";"89";"0";"0.101";"0.0"
"2022-06-17 19:52:07.000";"1671002";"2022-06-17";"19:52:07";"F";"66";"53";"70";"0";"0.243";"0.0"
"2022-06-17 19:52:17.000";"1681002";"2022-06-17";"19:52:17";"F";"67";"109";"130";"0";"0.162";"0.0"
"2022-06-17 19:52:24.000";"1688002";"2022-06-17";"19:52:24";"F";"68";"39";"50";"0";"0.220";"0.0"
"2022-06-17 19:52:33.000";"1697002";"2022-06-17";"19:52:33";"F";"69";"25";"34";"0";"-";"-"
"2022-06-17 19:52:40.000";"1704002";"2022-06-17";"19:52:40";"F";"70";"47";"60";"0";"0.217";"0.0"
"2022-06-17 19:52:53.000";"1717002";"2022-06-17";"19:52:53";"F";"71";"38";"56";"0";"0.321";"0.0"
"2022-06-17 19:53:00.000";"1724002";"2022-06-17";"19:53:00";"F";"72";"84";"96";"0";"0.125";"0.0"
"2022-06-17 19:54:44.998";"1829000";"2022-06-17";"19:54:44";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:30;AF=1.00;G=12;D=2;EF=0.84;FO=134;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2022-06-17 19:54:45.000";"1829002";"2022-06-17";"19:54:45";"F";"74";"0";"6";"0";"-";"-"
"2022-06-17 19:54:53.000";"1837002";"2022-06-17";"19:54:53";"F";"75";"77";"95";"0";"0.189";"0.0"
"2022-06-17 19:54:59.000";"1843002";"2022-06-17";"19:54:59";"F";"76";"253";"280";"0";"0.096";"0.0"
"2022-06-17 19:55:12.000";"1856002";"2022-06-17";"19:55:12";"F";"77";"281";"340";"0";"0.174";"0.0"
"2022-06-17 19:55:16.000";"1860002";"2022-06-17";"19:55:16";"F";"78";"463";"522";"0";"0.113";"0.0"
"2022-06-17 19:55:31.000";"1875002";"2022-06-17";"19:55:31";"F";"79";"19";"40";"0";"-";"-"
"2022-06-17 19:55:38.000";"1882002";"2022-06-17";"19:55:38";"F";"80";"76";"93";"0";"0.183";"0.0"
"2022-06-17 19:55:47.000";"1891002";"2022-06-17";"19:55:47";"F";"81";"64";"84";"0";"0.238";"0.0"
"2022-06-17 19:55:53.000";"1897002";"2022-06-17";"19:55:53";"F";"82";"75";"83";"0";"0.096";"0.0"
"2022-06-17 19:56:02.000";"1906002";"2022-06-17";"19:56:02";"F";"83";"264";"314";"0";"0.159";"0.0"
"2022-06-17 19:56:07.000";"1911002";"2022-06-17";"19:56:07";"F";"84";"471";"552";"0";"0.147";"0.0"
"2022-06-17 19:56:16.000";"1920002";"2022-06-17";"19:56:16";"F";"85";"426";"468";"0";"0.090";"0.0"
"2022-06-17 19:56:20.000";"1924002";"2022-06-17";"19:56:20";"F";"86";"517";"559";"0";"0.075";"0.0"
"2022-06-17 19:56:30.000";"1934002";"2022-06-17";"19:56:30";"F";"87";"83";"107";"0";"0.224";"0.0"
"2022-06-17 19:56:35.000";"1939002";"2022-06-17";"19:56:35";"F";"88";"137";"183";"0";"0.251";"0.0"
"2022-06-17 19:57:03.000";"1967002";"2022-06-17";"19:57:03";"F";"89";"0";"0";"0";"-";"-"
"2022-06-17 19:57:35.000";"1999002";"2022-06-17";"19:57:35";"F";"90";"424";"663";"0";"0.360";"0.0"
"2022-06-17 19:57:40.000";"2004002";"2022-06-17";"19:57:40";"F";"91";"732";"890";"0";"0.178";"0.0"
"2022-06-17 19:57:47.000";"2011002";"2022-06-17";"19:57:47";"F";"92";"654";"796";"0";"0.178";"0.0"
"2022-06-17 19:57:51.000";"2015002";"2022-06-17";"19:57:51";"F";"93";"613";"785";"0";"0.219";"0.0"
"2022-06-17 19:57:58.000";"2022002";"2022-06-17";"19:57:58";"F";"94";"186";"228";"0";"0.184";"0.0"
"2022-06-17 19:58:02.000";"2026002";"2022-06-17";"19:58:02";"F";"95";"319";"417";"0";"0.235";"0.0"
"2022-06-17 19:58:08.000";"2032002";"2022-06-17";"19:58:08";"F";"96";"238";"303";"0";"0.215";"0.0"
"2022-06-17 19:58:13.000";"2037002";"2022-06-17";"19:58:13";"F";"97";"129";"159";"0";"0.189";"0.0"
"2022-06-17 19:58:20.000";"2044002";"2022-06-17";"19:58:20";"F";"98";"267";"327";"0";"0.183";"0.0"
"2022-06-17 19:58:25.000";"2049002";"2022-06-17";"19:58:25";"F";"99";"346";"421";"0";"0.178";"0.0"
"2022-06-17 19:58:39.000";"2063002";"2022-06-17";"19:58:39";"F";"100";"81";"111";"0";"0.270";"0.0"
"2022-06-17 19:58:44.000";"2068002";"2022-06-17";"19:58:44";"F";"101";"73";"96";"0";"0.240";"0.0"
"2022-06-17 19:58:52.000";"2076002";"2022-06-17";"19:58:52";"F";"102";"243";"306";"0";"0.206";"0.0"
"2022-06-17 19:58:56.000";"2080002";"2022-06-17";"19:58:56";"F";"103";"428";"572";"0";"0.252";"0.0"
"2022-06-17 19:59:05.000";"2089002";"2022-06-17";"19:59:05";"F";"104";"180";"241";"0";"0.253";"0.0"
"2022-06-17 19:59:09.000";"2093002";"2022-06-17";"19:59:09";"F";"105";"162";"226";"0";"0.283";"0.0"
"2022-06-17 20:01:17.998";"2222000";"2022-06-17";"20:01:17";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:30;AF=1.00;G=10;D=2;EF=0.84;FO=83;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2022-06-17 20:01:18.000";"2222002";"2022-06-17";"20:01:18";"F";"107";"380";"603";"0";"0.370";"0.0"
"2022-06-17 20:01:41.000";"2245002";"2022-06-17";"20:01:41";"F";"108";"534";"764";"0";"0.301";"0.0"
"2022-06-17 20:01:45.000";"2249002";"2022-06-17";"20:01:45";"F";"109";"356";"464";"0";"0.233";"0.0"
"2022-06-17 20:01:49.000";"2253002";"2022-06-17";"20:01:49";"F";"110";"553";"729";"0";"0.241";"0.0"
"2022-06-17 20:01:52.000";"2256002";"2022-06-17";"20:01:52";"F";"111";"420";"611";"0";"0.313";"0.0"
"2022-06-17 20:01:55.000";"2259002";"2022-06-17";"20:01:55";"F";"112";"585";"948";"0";"0.383";"0.0"
"2022-06-17 20:02:05.000";"2269002";"2022-06-17";"20:02:05";"F";"113";"281";"380";"0";"0.261";"0.0"
"2022-06-17 20:02:10.000";"2274002";"2022-06-17";"20:02:10";"F";"114";"460";"591";"0";"0.222";"0.0"
"2022-06-17 20:02:14.000";"2278002";"2022-06-17";"20:02:14";"F";"115";"252";"344";"0";"0.267";"0.0"
"2022-06-17 20:02:21.000";"2285002";"2022-06-17";"20:02:21";"F";"116";"108";"149";"0";"0.275";"0.0"
"2022-06-17 20:02:26.000";"2290002";"2022-06-17";"20:02:26";"F";"117";"55";"74";"0";"0.257";"0.0"
"2022-06-17 20:02:31.000";"2295002";"2022-06-17";"20:02:31";"F";"118";"29";"44";"0";"-";"-"
"2022-06-17 20:02:35.000";"2299002";"2022-06-17";"20:02:35";"F";"119";"542";"733";"0";"0.261";"0.0"
"2022-06-17 20:02:40.000";"2304002";"2022-06-17";"20:02:40";"F";"120";"345";"475";"0";"0.274";"0.0"
"2022-06-17 20:02:48.000";"2312002";"2022-06-17";"20:02:48";"F";"121";"536";"671";"0";"0.201";"0.0"
"2022-06-17 20:02:53.000";"2317002";"2022-06-17";"20:02:53";"F";"122";"494";"632";"0";"0.218";"0.0"
"2022-06-17 20:03:02.000";"2326002";"2022-06-17";"20:03:02";"F";"123";"8";"13";"0";"-";"-"
"2022-06-17 20:06:07.000";"2511002";"2022-06-17";"20:06:07";"F";"124";"487";"1145";"0";"0.575";"0.0"
"2022-06-17 20:06:12.000";"2516002";"2022-06-17";"20:06:12";"F";"125";"659";"1270";"0";"0.481";"0.0"
"2022-06-17 20:06:16.000";"2520002";"2022-06-17";"20:06:16";"F";"126";"693";"1217";"0";"0.431";"0.0"
"2022-06-17 20:06:20.000";"2524002";"2022-06-17";"20:06:20";"F";"127";"680";"1319";"0";"0.484";"0.0"
"2022-06-17 20:06:24.000";"2528002";"2022-06-17";"20:06:24";"F";"128";"404";"874";"0";"0.538";"0.0"
"2022-06-17 20:06:28.000";"2532002";"2022-06-17";"20:06:28";"F";"129";"265";"500";"0";"0.470";"0.0"
"2022-06-17 20:06:34.000";"2538002";"2022-06-17";"20:06:34";"F";"130";"158";"339";"0";"0.534";"0.0"
"2022-06-17 20:06:38.000";"2542002";"2022-06-17";"20:06:38";"F";"131";"312";"548";"0";"0.431";"0.0"
"2022-06-17 20:06:42.000";"2546002";"2022-06-17";"20:06:42";"F";"132";"285";"578";"0";"0.507";"0.0"
"2022-06-17 20:06:46.000";"2550002";"2022-06-17";"20:06:46";"F";"133";"358";"723";"0";"0.505";"0.0"
"2022-06-17 20:06:51.000";"2555002";"2022-06-17";"20:06:51";"F";"134";"521";"923";"0";"0.436";"0.0"
"2022-06-17 20:06:57.000";"2561002";"2022-06-17";"20:06:57";"F";"135";"155";"260";"0";"0.404";"0.0"
"2022-06-17 20:07:05.000";"2569002";"2022-06-17";"20:07:05";"F";"136";"81";"175";"0";"0.537";"0.0"
"2022-06-17 20:07:10.000";"2574002";"2022-06-17";"20:07:10";"F";"137";"134";"303";"0";"0.558";"0.0"
"2022-06-17 20:07:14.000";"2578002";"2022-06-17";"20:07:14";"F";"138";"219";"524";"0";"0.582";"0.0"
"2022-06-17 20:07:18.000";"2582002";"2022-06-17";"20:07:18";"F";"139";"482";"1118";"0";"0.569";"0.0"
"2022-06-17 20:11:29.000";"2833002";"2022-06-17";"20:11:29";"F";"140";"106";"139";"0";"0.237";"0.0"
"2022-06-17 20:11:34.000";"2838002";"2022-06-17";"20:11:34";"F";"141";"41";"67";"0";"0.388";"0.0"
"2022-06-17 20:11:38.000";"2842002";"2022-06-17";"20:11:38";"F";"142";"370";"452";"0";"0.181";"0.0"
"2022-06-17 20:11:41.000";"2845002";"2022-06-17";"20:11:41";"F";"143";"377";"496";"0";"0.240";"0.0"
"2022-06-17 20:11:44.000";"2848002";"2022-06-17";"20:11:44";"F";"144";"579";"815";"0";"0.290";"0.0"
"2022-06-17 20:11:47.000";"2851002";"2022-06-17";"20:11:47";"F";"145";"407";"733";"0";"0.445";"0.0"
"2022-06-17 20:11:52.000";"2856002";"2022-06-17";"20:11:52";"F";"146";"309";"402";"0";"0.231";"0.0"
"2022-06-17 20:11:55.000";"2859002";"2022-06-17";"20:11:55";"F";"147";"226";"343";"0";"0.341";"0.0"
"2022-06-17 20:11:59.000";"2863002";"2022-06-17";"20:11:59";"F";"148";"154";"190";"0";"0.189";"0.0"
"2022-06-17 20:12:02.000";"2866002";"2022-06-17";"20:12:02";"F";"149";"344";"497";"0";"0.308";"0.0"
"2022-06-17 20:12:06.000";"2870002";"2022-06-17";"20:12:06";"F";"150";"309";"510";"0";"0.394";"0.0"
"2022-06-17 20:12:10.000";"2874002";"2022-06-17";"20:12:10";"F";"151";"244";"321";"0";"0.240";"0.0"
"2022-06-17 20:12:19.000";"2883002";"2022-06-17";"20:12:19";"F";"152";"415";"733";"0";"0.434";"0.0"
"2022-06-17 20:12:23.000";"2887002";"2022-06-17";"20:12:23";"F";"153";"293";"480";"0";"0.390";"0.0"
"2022-06-17 20:14:36.000";"3020002";"2022-06-17";"20:14:36";"F";"154";"325";"587";"0";"0.446";"0.0"
"2022-06-17 20:14:41.000";"3025002";"2022-06-17";"20:14:41";"F";"155";"239";"556";"0";"0.570";"0.0"
"2022-06-17 20:14:44.000";"3028002";"2022-06-17";"20:14:44";"F";"156";"263";"407";"0";"0.354";"0.0"
"2022-06-17 20:14:53.000";"3037002";"2022-06-17";"20:14:53";"F";"157";"88";"142";"0";"0.380";"0.0"
"2022-06-17 20:14:57.000";"3041002";"2022-06-17";"20:14:57";"F";"158";"367";"627";"0";"0.415";"0.0"
"2022-06-17 20:15:00.000";"3044002";"2022-06-17";"20:15:00";"F";"159";"214";"413";"0";"0.482";"0.0"
"2022-06-17 20:15:04.000";"3048002";"2022-06-17";"20:15:04";"F";"160";"245";"509";"0";"0.519";"0.0"
"2022-06-17 20:15:08.000";"3052002";"2022-06-17";"20:15:08";"F";"161";"261";"576";"0";"0.547";"0.0"
"2022-06-17 20:15:17.000";"3061002";"2022-06-17";"20:15:17";"F";"162";"55";"93";"0";"0.409";"0.0"
"2022-06-17 20:15:23.000";"3067002";"2022-06-17";"20:15:23";"F";"163";"145";"331";"0";"0.562";"0.0"
"2022-06-17 20:15:32.000";"3076002";"2022-06-17";"20:15:32";"F";"164";"42";"61";"0";"0.311";"0.0"
"2022-06-17 20:15:42.000";"3086002";"2022-06-17";"20:15:42";"F";"165";"344";"608";"0";"0.434";"0.0"
"2022-06-17 20:15:55.000";"3099002";"2022-06-17";"20:15:55";"F";"166";"125";"168";"0";"0.256";"0.0"
"2022-06-17 20:17:29.998";"3194000";"2022-06-17";"20:17:29";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:30;AF=1.00;G=8;D=2;EF=0.84;FO=64;CW=0:30;CI=1;LW=0:10;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2022-06-17 20:17:30.000";"3194002";"2022-06-17";"20:17:30";"F";"168";"0";"8";"0";"-";"-"
"2022-06-17 20:17:43.000";"3207002";"2022-06-17";"20:17:43";"F";"169";"595";"1012";"0";"0.412";"0.0"
"2022-06-17 20:17:47.000";"3211002";"2022-06-17";"20:17:47";"F";"170";"323";"828";"0";"0.610";"0.0"
"2022-06-17 20:17:51.000";"3215002";"2022-06-17";"20:17:51";"F";"171";"424";"625";"0";"0.322";"0.0"
"2022-06-17 20:17:54.000";"3218002";"2022-06-17";"20:17:54";"F";"172";"497";"786";"0";"0.368";"0.0"
"2022-06-17 20:18:02.000";"3226002";"2022-06-17";"20:18:02";"F";"173";"156";"239";"0";"0.347";"0.0"
"2022-06-17 20:18:06.000";"3230002";"2022-06-17";"20:18:06";"F";"174";"436";"741";"0";"0.412";"0.0"
"2022-06-17 20:18:21.000";"3245002";"2022-06-17";"20:18:21";"F";"175";"387";"800";"0";"0.516";"0.0"
"2022-06-17 20:18:26.000";"3250002";"2022-06-17";"20:18:26";"F";"176";"639";"1155";"0";"0.447";"0.0"
"2022-06-17 20:18:35.000";"3259002";"2022-06-17";"20:18:35";"F";"177";"617";"921";"0";"0.330";"0.0"
"2022-06-17 20:18:39.000";"3263002";"2022-06-17";"20:18:39";"F";"178";"419";"656";"0";"0.361";"0.0"
"2022-06-17 20:18:47.000";"3271002";"2022-06-17";"20:18:47";"F";"179";"435";"716";"0";"0.392";"0.0"
"2022-06-17 20:18:51.000";"3275002";"2022-06-17";"20:18:51";"F";"180";"186";"245";"0";"0.241";"0.0"
"2022-06-17 20:18:59.000";"3283002";"2022-06-17";"20:18:59";"F";"181";"543";"1622";"0";"0.665";"0.0"
"2022-06-17 20:19:03.000";"3287002";"2022-06-17";"20:19:03";"F";"182";"460";"1171";"0";"0.607";"0.0"
"2022-06-17 20:19:10.000";"3294002";"2022-06-17";"20:19:10";"F";"183";"334";"676";"0";"0.506";"0.0"
"2022-06-17 20:19:14.000";"3298002";"2022-06-17";"20:19:14";"F";"184";"599";"970";"0";"0.382";"0.0"
"2022-06-17 20:20:54.000";"3398002";"2022-06-17";"20:20:54";"F";"185";"575";"1782";"0";"0.677";"0.0"
