nursery,name,geno,date,source_lat,source_lon,mmm_5km,estimate_hill,estimate_max,estimate_ed50,std_error_hill,std_error_max,std_error_ed50,statistic_hill,statistic_max,statistic_ed50,p_value_hill,p_value_max,p_value_ed50
MML,ML10,ML10,2020-06,24.6152,-81.3792,30.1071,49.31312765790744,0.6598961935524522,35.493765423415454,6.1635819366739755,0.01322334062189135,0.08991183481208377,8.000725578821143,49.903894365391196,394.7618853246363,3.756408739161345e-6,2.706704965793279e-15,2.3505019555231876e-26
MML,ML13,ML13,2020-06,24.5959,-81.3716,30.2519,60.8524143417267,0.6416498290300371,35.25791862075454,12.96714300803693,0.04297547647843158,0.14609961653401765,4.69281585805068,14.930604186600855,241.32793403016996,8.507909787047881e-4,3.655585342143843e-8,1.8350710528922933e-20
MML,ML20,ML20,2020-06,24.6217,-81.3631,30.1071,76.62840860842576,0.6583069856165547,35.230012545988096,12.554578662950952,0.0242407605349474,0.08080099437017352,6.103622484325911,27.157026887315983,436.0096409777938,7.697578095858286e-5,1.96651340846399e-11,5.800053940338287e-25
MML,ML36,ML36,2020-06,24.5615,-81.4079,30.2694,65.48348420255954,0.6215941634704727,35.426283615549266,3.551918535459627,0.003981718726667334,0.03825392629143875,18.436088426247032,156.11202250610552,926.0822887996648,3.3449467521441115e-12,3.37204468647529e-27,1.4407015061266394e-39
MML,ML38,ML38,2020-06,24.5631,-81.4006,30.2694,45.39430045093895,0.6517963866730746,35.86033254270199,3.8987174289739777,0.008467561642137494,0.05786289735061085,11.643393315346101,76.97568842363214,619.7465765568585,3.877750975889074e-7,3.337110951833511e-15,1.4718969320134216e-24
MML,ML4,ML4,2020-06,24.5693,-81.3817,30.2519,94.70209356680105,0.5933301000939062,35.48902676441952,9.703346895616505,0.009508202991859893,0.049930480578690324,9.759734922965889,62.401917649619435,710.7687799737656,4.379465862850654e-6,3.5152357825419244e-13,5.498624888879453e-23
MML,ML44,ML44,2020-06,24.5686,-81.3265,29.9826,50.476657909624784,0.6343440196205082,35.23304932034874,5.683030681150256,0.018889123777292915,0.08087790252892844,8.881996375111637,33.582501078375536,435.6325797117027,2.321458380917583e-7,1.5607908278987792e-15,1.734875820038576e-32
MML,ML46,ML46,2020-06,24.5608,-81.5014,30.1701,44.69411447298177,0.6407253631710358,35.33290873473872,3.76663601251444,0.013051631478994966,0.08321023977774215,11.865790674885506,49.09159166822985,424.62212378085104,1.08045612413451e-8,2.2510499020083326e-17,1.781294188057503e-30
MML,ML47,ML44,2020-06,24.5483,-81.5332,30.0192,67.5343354720806,0.6291443911343753,35.20120316537547,3.43625073641214,0.005911941862389738,0.030973481980528947,19.653494652312418,106.419245279936,1136.4948631705088,2.5457611712450244e-9,6.578274426592884e-17,3.422791198110199e-27
MML,ML48,ML48,2020-06,24.5215,-81.5769,30.0312,53.59741972258918,0.6000491911503761,35.093781630218494,5.004101213753199,0.014460318377650043,0.06601434186088231,10.710698571660144,41.49626415403245,531.6084450887147,5.745688726812638e-10,6.121693300227802e-22,3.8034821415047493e-45
MML,ML51,ML51,2020-06,24.5273,-81.4989,29.8415,41.761871226647024,0.6560224432215068,34.89496269325263,4.417697076569398,0.01819622927180933,0.09595359498162082,9.453312552402885,36.05265868120575,363.6649851413748,1.2915759530077396e-8,2.9184235513139807e-19,2.818953867997217e-38
MML,ML54,ML54,2020-06,24.559,-81.4129,30.2694,50.293354982283475,0.6210653068050097,34.97514370438142,4.57291861799588,0.009790907373365841,0.06480617887765369,10.998086601489742,63.4328651187622,539.6884110450379,6.602984638885465e-7,2.3080491576025117e-14,5.869097511737139e-24
MML,ML56,ML56,2020-06,24.5591,-81.4136,30.2694,72.73326966873218,0.6294841039353085,35.535140401013486,6.784688943275672,0.0133340073462175,0.05777430465348791,10.720206965540898,47.2089213385559,615.0682490103874,7.982543478047201e-8,6.482692223533361e-16,1.047449261159215e-30
MML,ML58,ML58,2020-06,24.5233,-81.5357,30.0192,57.24150086205942,0.6054548300299073,35.36051894206982,7.394730611947435,0.01504924492155489,0.06941981423978293,7.740850054710054,40.23157528406758,509.3721343006058,5.258712174627594e-6,3.596155419951258e-14,1.1036602599866439e-27
MML,ML70,ML70,2020-06,24.5572,-81.5101,30.1701,43.97977819144728,0.6560094742988676,35.45978563258981,4.034141076065294,0.013310515509932414,0.0686134161072679,10.901893950209354,49.285053896623914,516.8054244253511,8.155433171231312e-9,3.3116233671886364e-19,1.6277919772720428e-35
MML,ML75,ML75,2020-06,24.5401,-81.4488,29.8993,52.98576689797359,0.6597884763408024,35.584837255934815,6.954533135789152,0.013353876958526497,0.07590846773253615,7.618881938357625,49.40800925378642,468.78613570910375,3.262114111376057e-5,2.8586108541134405e-12,2.3280657702026218e-21
MML,ML76,ML76,2020-06,24.5266,-81.501,30.0192,57.84415953387225,0.6375426552563961,35.189018178494194,4.218367939336929,0.008427891867638168,0.04343377022465343,13.712450019939366,75.64675309901206,810.1764593882887,2.911960363395816e-10,3.5910535214969005e-22,1.2236989168931383e-38
MML,ML78,ML78,2020-06,24.53,-81.4896,29.8415,57.161465022468825,0.646697529785384,35.46108800139385,5.702671868581275,0.014612769609626364,0.07937445371989363,10.023628632290498,44.25564400600438,446.7569392859485,8.612286045662027e-9,4.01135179239313e-20,3.656614690850079e-38
MML,ML79,ML79,2020-06,24.5264,-81.5052,30.0192,59.42855217996295,0.6057451137745925,35.2501004683627,2.5375750655888996,0.0049343998659310325,0.027762598811828382,23.419426280566505,122.75963242397245,1269.6974338491768,2.6470119305052136e-19,9.100646270657927e-38,3.869082096687083e-64
