nursery,name,geno,ed50,std.error
RR,U104,U104,36.02108887751145,0.10829607520671782
RR,FM14,FM9,36.55941312749835,0.30197579923548534
RR,ML34,ML34,35.81825957766384,0.3721407341648334
RR,FM21,FM6,36.69781135909302,0.4153755354317603
RR,KW5,KW5,36.56134276392487,0.15824815159536768
RR,Acer120RR,Acer120RR,35.974447753931486,0.2405574347396228
RR,Acer123RR,Acer123RR,36.732242575545975,0.062232873461676
RR,FM13,FM13,36.28919005616205,0.4674879124985375
RR,ML50,ML50,35.92311181961951,0.15434286575005537
UM,66y,BC-h,36.09928203482702,0.2184861395346722
UM,40y,BC-f,35.488314106142596,0.43035868823538714
UM,49y,Acerv2,36.13015221353996,0.25803328109339063
UM,44y,ML48,35.45084087078252,0.08083478863813111
UM,70y,BC-g,35.863186947590606,0.2408909652790267
UM,59y,Kelsey-1,35.25898103677966,0.2944930629645829
UM,14y,BC-8a,35.99598649828398,0.21498888009956096
UM,85y,North Midchannel-B,35.49949182914963,0.09278534633210662
UM,52y,Cheetos-B,35.840154311739305,0.42623010809064976
UM,63y,MB-C,36.05244489234656,0.2556079937258188
UM,48y,Steph's-b,35.809504298484,0.23932495671943152
UM,55y,MB-B,35.75795365807431,0.3343674660718968
UM,67y,Sunny Isles-A,35.87644443711865,0.22472334652388853
UM,54y,MB-A,35.84408809485759,0.2462222209620868
UM,32y,Cooper's,36.33161465019845,0.6720031295288077
UM,23y,Acerv3,35.86484112148237,0.17500467150237725
UM,46y,Jane's Reef,35.66706263806819,0.13293274536518496
UM,58y,Kelsey-2,36.0327327626166,0.523911951556055
UM,42y,ML50,35.673000594190256,0.28493461944619436
UM,30y,Sunny Isles-F,35.76555765466038,0.17957344644020531
UM,82y,Stag-c,35.24466231206045,0.10747572508916993
UM,71y,ELK,35.442953130296736,0.2919797486264578
UM,27y,Sunny Isles-C,35.50134558724604,0.2182242901241569
UM,88y,Yung's-A,35.19018913316053,0.08421125338268345
UM,15y,BC-1,35.279897936897925,0.18657986493982712
UM,o.85,Steph's-a,35.8141856202039,0.2905600005579089
UM,41y,ML62,35.72906854003518,0.16629991949108205
UM,37y,Evan's-b,35.546525608810036,0.2673157793613695
UM,64y,MB-D,36.24193238800078,0.2884320619524011
UM,47y,FD 1196,36.41065622891546,0.17458106875348653
UM,68y,Sunny Isles-B,35.35547178812787,0.10740596930401115
UM,36y,Evan's-a,35.49903567956857,0.27452433650750446
UM,16y,BC-11,35.82482958138847,0.12252126249259271
UM,39y,BC-e,36.46315234340278,0.6699426327558492
UM,19y,BC-8b,36.19040062502704,0.46015972709166814
UM,38y,Evan's-c,35.769044086490624,0.38504638026537574
UM,90y,Tuna Jelly-3,35.5905395229118,0.09806871954706559
UM,60b,North Midchannel-A,36.06468425830228,0.15735915201528455
UM,28y,Sunny Isles-D,35.97741281732918,0.24903232797211788
UM,29y,Sunny Isles-E,35.37396986698888,0.10627586971719058
UM,89y,Yung's-B,36.21926532059212,0.3299547531941841
