Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;
08.12.22;23:02:52;1;0;0.0699;0.0156;0.0645;0.0699;0.0445;0.1163;0.0176;0.0469;0.0186;0.1891;0.0347;0.1872;0.2033;0.1246;0.3333;0.0323;0.1251;0.0425;0.630;0.549;0.655;0.656;0.643;0.651;0.455;0.625;0.563;
08.12.22;23:04:07;2;0;0.1329;0.1100;0.1007;0.1065;0.1022;0.1197;0.0963;0.1139;0.0953;0.3798;0.3177;0.3201;0.3109;0.2996;0.3470;0.2771;0.3368;0.2869;0.650;0.654;0.685;0.657;0.659;0.655;0.653;0.662;0.668;
