ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
01211,pulchritude,2022_12_4,225468,10,36,46,28.50,27.59,27.59,HTR,28.50,29.75,29.75,CHL,28.50,29.62,29.62,CHL,28.50,27.30,27.30,HTR,
01211,pulchritude,2022_12_4,230939,10,36,46,28.50,27.59,27.59,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.30,27.30,HTR,
01211,pulchritude,2022_12_4,236414,10,36,46,28.50,27.59,27.59,HTR,28.50,29.69,29.69,CHL,28.50,29.62,29.62,CHL,28.50,27.30,27.30,HTR,
01211,pulchritude,2022_12_4,241887,10,36,46,28.50,27.65,27.65,HTR,28.50,29.69,29.69,CHL,28.50,29.62,29.62,CHL,28.50,27.36,27.36,HTR,
01211,pulchritude,2022_12_4,247358,10,36,46,28.50,27.65,27.65,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.36,27.36,HTR,
01211,pulchritude,2022_12_4,252830,10,37,48,28.50,27.65,27.65,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.42,27.42,HTR,
01211,pulchritude,2022_12_4,260743,10,37,48,28.50,27.65,27.65,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.42,27.42,HTR,
01211,pulchritude,2022_12_4,266214,10,37,48,28.50,27.71,27.71,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.42,27.42,HTR,
01211,pulchritude,2022_12_4,271685,10,37,48,28.50,27.71,27.71,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.49,27.49,HTR,
01211,pulchritude,2022_12_4,277156,10,37,48,28.50,27.71,27.71,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.49,27.49,HTR,
01211,pulchritude,2022_12_4,282633,10,37,48,28.50,27.71,27.71,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.49,27.49,HTR,
01211,pulchritude,2022_12_4,288103,10,37,48,28.50,27.78,27.78,HTR,28.50,29.69,29.69,CHL,28.50,29.56,29.56,CHL,28.50,27.55,27.55,HTR,
