Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;
06.09.21;20:01:06;1;0;0.0274;0.3123;0.3807;0.1882;0.0621;0.0235;0.0083;0.0112;0.2502;0.4062;0.0401;0.5200;0.6251;0.3118;0.0924;0.0332;0.0108;0.0156;0.4154;0.7102;0.317;0.399;0.391;0.397;0.328;0.294;0.000;0.000;0.398;0.428;
06.09.21;20:01:44;2;0;0.4223;0.4267;0.4599;0.4790;0.3456;0.3749;0.4457;0.4223;0.5020;0.5352;0.7717;0.7757;0.7835;0.8177;0.5802;0.6271;0.8001;0.7458;0.7566;0.7732;0.453;0.450;0.413;0.414;0.404;0.402;0.443;0.434;0.337;0.308;
