Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;
08.09.21;20:21:23;1;0;0.4614;0.3925;0.1804;0.3553;0.3519;0.3138;0.3729;0.1569;0.5425;0.4379;0.1975;0.3895;0.3793;0.3592;0.4096;0.1828;0.150;0.104;0.087;0.088;0.072;0.127;0.089;0.142;
08.09.21;20:21:22;2;0;0.4614;0.3925;0.1804;0.3553;0.3519;0.3138;0.3729;0.1569;0.5425;0.4379;0.1975;0.3895;0.3793;0.3592;0.4096;0.1828;0.150;0.104;0.087;0.088;0.072;0.127;0.089;0.142;
08.09.21;20:21:24;3;0;0.4614;0.3925;0.1804;0.3553;0.3519;0.3138;0.3729;0.1569;0.5401;0.4365;0.1970;0.3891;0.3778;0.3587;0.4091;0.1828;0.146;0.101;0.084;0.087;0.069;0.125;0.088;0.142;
